time,rcv,life_time,life_time_global,run_time_vec,run_time,cpu_usage_vec,cpu_usage,snd,queued,active,time_activated
1,19,80,81,"[2, 5, 23, 10, 13, 14, 2, 23, 7, 23, 22, 7, 12, 10, 16, 12, 4, 15, 2, 18]",18,"[1, 2, 4, 4, 2, 3, 1, 2, 3, 2, 1, 1, 3, 4, 3, 1, 2, 3, 2, 4]",4,-1,False,False,
2,4,52,54,"[6, 12, 23, 11, 2, 12, 11, 3, 6, 17, 2, 19, 9, 8, 5, 5, 8, 14, 13, 9]",2,"[1, 3, 3, 4, 4, 1, 3, 4, 2, 2, 4, 1, 3, 1, 1, 3, 3, 4, 3, 3]",4,-1,False,False,
3,2,81,84,"[10, 2, 11, 20, 18, 2, 8, 24, 15, 14, 13, 20, 10, 6, 16, 2, 18, 11, 3, 1]",11,"[4, 1, 1, 4, 3, 1, 2, 4, 2, 1, 4, 3, 4, 1, 4, 3, 3, 2, 3, 3]",1,-1,False,False,
3,3,72,75,"[3, 16, 13, 6, 16, 16, 15, 20, 18, 21, 1, 16, 16, 18, 9, 5, 17, 2, 23, 6]",6,"[3, 3, 2, 4, 3, 4, 3, 3, 3, 2, 4, 3, 3, 2, 2, 2, 3, 4, 3, 3]",4,-1,False,False,
3,4,86,89,"[11, 21, 22, 17, 22, 12, 4, 7, 2, 11, 17, 3, 6, 21, 5, 14, 13, 1, 23, 18]",22,"[4, 4, 3, 2, 2, 2, 3, 4, 1, 4, 4, 3, 1, 2, 4, 2, 1, 1, 1, 1]",2,-1,False,False,
3,5,87,90,"[13, 19, 12, 11, 2, 19, 2, 4, 19, 1, 8, 7, 1, 8, 8, 13, 19, 20, 20, 3]",19,"[4, 1, 3, 3, 3, 3, 2, 3, 1, 4, 2, 2, 2, 4, 4, 2, 2, 3, 4, 3]",3,-1,False,False,
3,8,89,92,"[4, 6, 2, 17, 23, 13, 8, 10, 17, 6, 18, 16, 22, 22, 8, 23, 18, 6, 8, 3]",17,"[2, 2, 4, 4, 4, 1, 4, 4, 4, 3, 2, 1, 4, 2, 3, 1, 3, 1, 2, 4]",4,-1,False,False,
4,10,83,87,"[3, 18, 14, 23, 4, 16, 7, 16, 10, 8, 23, 5, 6, 1, 20, 23, 17, 23, 24, 11]",23,"[4, 2, 3, 1, 4, 1, 4, 3, 1, 4, 2, 3, 3, 1, 2, 3, 4, 3, 3, 1]",2,-1,False,False,
4,19,77,81,"[24, 8, 24, 18, 13, 9, 5, 1, 24, 2, 12, 22, 1, 1, 12, 3, 22, 11, 14, 10]",10,"[2, 3, 3, 1, 4, 3, 2, 2, 1, 3, 1, 4, 4, 1, 4, 3, 4, 3, 1, 4]",4,-1,False,False,
6,3,58,64,"[20, 21, 2, 20, 18, 12, 9, 14, 3, 15, 16, 12, 5, 2, 7, 18, 16, 20, 1, 5]",20,"[1, 3, 1, 2, 2, 1, 4, 3, 1, 4, 2, 1, 3, 1, 1, 4, 2, 2, 1, 1]",2,-1,False,False,
