time,rcv,life_time,life_time_global,run_time_vec,run_time,cpu_usage_vec,cpu_usage,snd,queued,active,time_activated
1,0,79,80,"[15, 5, 9, 12, 1, 14, 24, 15, 5, 22, 24, 7, 15, 6, 22]",15,"[3, 1, 3, 3, 2, 4, 1, 4, 1, 3, 2, 3, 4, 3, 3]",3,-1,False,False,
1,8,88,89,"[20, 21, 13, 16, 15, 14, 4, 20, 1, 12, 8, 9, 11, 16, 7]",1,"[2, 3, 4, 4, 3, 3, 4, 4, 3, 1, 1, 4, 3, 1, 1]",3,-1,False,False,
1,14,76,77,"[17, 1, 12, 22, 3, 3, 3, 24, 24, 7, 15, 18, 9, 2, 18]",18,"[2, 4, 2, 4, 4, 4, 4, 3, 4, 3, 1, 3, 2, 2, 1]",1,-1,False,False,
2,1,77,79,"[10, 11, 3, 17, 3, 5, 24, 8, 1, 1, 8, 20, 24, 9, 15]",11,"[2, 4, 3, 1, 4, 2, 4, 2, 3, 4, 1, 3, 3, 3, 2]",4,-1,False,False,
2,6,52,54,"[18, 6, 9, 13, 7, 19, 15, 22, 12, 12, 5, 7, 9, 9, 19]",15,"[4, 1, 4, 1, 1, 1, 1, 3, 3, 3, 2, 2, 3, 1, 4]",1,-1,False,False,
2,7,80,82,"[13, 10, 2, 4, 6, 22, 14, 21, 11, 14, 13, 11, 16, 10, 24]",21,"[4, 4, 3, 3, 3, 2, 4, 2, 3, 1, 3, 4, 1, 4, 3]",2,-1,False,False,
2,11,52,54,"[23, 4, 4, 20, 9, 4, 23, 21, 8, 8, 11, 9, 22, 17, 1]",9,"[3, 2, 3, 2, 4, 3, 2, 2, 1, 4, 1, 2, 2, 3, 4]",2,-1,False,False,
3,0,72,75,"[23, 18, 7, 24, 11, 3, 21, 5, 8, 9, 7, 14, 11, 8, 21]",23,"[1, 4, 4, 3, 4, 3, 4, 2, 1, 3, 2, 4, 4, 1, 3]",1,-1,False,False,
3,2,66,69,"[23, 21, 20, 3, 9, 18, 20, 2, 5, 4, 18, 23, 14, 22, 7]",20,"[4, 2, 3, 3, 2, 2, 4, 4, 1, 4, 3, 3, 3, 1, 4]",3,-1,False,False,
3,4,95,98,"[7, 22, 12, 16, 6, 22, 20, 4, 7, 2, 12, 12, 16, 20, 21]",6,"[1, 4, 2, 3, 2, 3, 3, 3, 3, 1, 4, 3, 2, 1, 4]",2,-1,False,False,
3,8,75,78,"[15, 3, 4, 21, 24, 23, 3, 8, 22, 19, 1, 24, 20, 18, 21]",22,"[2, 4, 3, 2, 3, 3, 2, 4, 3, 2, 3, 2, 2, 2, 1]",3,-1,False,False,
4,1,65,69,"[7, 20, 8, 15, 7, 3, 5, 9, 12, 6, 20, 14, 8, 19, 15]",20,"[3, 4, 2, 3, 2, 3, 2, 2, 1, 2, 4, 3, 1, 3, 2]",4,-1,False,False,
