time,rcv,life_time,life_time_global,run_time_vec,run_time,cpu_usage_vec,cpu_usage,snd,queued,active,time_activated
1,6,74,75,"[2, 6, 23, 13, 2, 11, 20, 8, 14, 3, 13, 2, 17, 22, 22, 1, 24, 22, 20, 22]",20,"[1, 1, 1, 2, 2, 1, 3, 4, 1, 3, 3, 4, 2, 3, 3, 3, 2, 3, 4, 1]",3,-1,False,False,
2,2,98,100,"[13, 7, 3, 20, 4, 10, 1, 4, 22, 22, 22, 18, 16, 24, 7, 21, 15, 12, 13, 5]",3,"[4, 1, 3, 1, 1, 1, 4, 4, 2, 1, 2, 3, 2, 4, 4, 1, 4, 1, 2, 2]",3,-1,False,False,
2,7,80,82,"[19, 8, 21, 9, 11, 18, 3, 15, 20, 18, 24, 11, 9, 20, 22, 23, 9, 21, 18, 16]",15,"[2, 3, 3, 4, 3, 4, 2, 4, 2, 4, 3, 2, 2, 4, 4, 2, 1, 1, 4, 4]",4,-1,False,False,
2,15,65,67,"[15, 2, 4, 22, 7, 21, 11, 7, 6, 6, 22, 9, 6, 3, 23, 22, 16, 16, 15, 2]",22,"[4, 2, 2, 3, 3, 4, 2, 1, 1, 1, 2, 2, 4, 4, 2, 3, 3, 1, 4, 3]",3,-1,False,False,
3,10,82,85,"[1, 21, 9, 7, 10, 24, 19, 20, 2, 15, 6, 13, 17, 2, 14, 12, 3, 21, 10, 11]",6,"[2, 1, 4, 1, 3, 3, 2, 4, 1, 2, 3, 4, 2, 2, 3, 2, 2, 4, 3, 1]",3,-1,False,False,
3,11,85,88,"[7, 3, 3, 14, 15, 3, 19, 11, 11, 4, 20, 5, 16, 23, 19, 7, 8, 11, 24, 5]",5,"[2, 2, 3, 2, 2, 1, 2, 2, 1, 4, 4, 4, 1, 1, 4, 3, 4, 1, 4, 3]",4,-1,False,False,
3,12,65,68,"[14, 22, 6, 12, 22, 12, 8, 6, 5, 11, 23, 14, 19, 4, 3, 9, 13, 6, 20, 15]",19,"[1, 1, 4, 3, 3, 2, 2, 4, 4, 4, 1, 4, 1, 1, 1, 1, 2, 2, 4, 2]",1,-1,False,False,
3,14,76,79,"[3, 24, 23, 6, 3, 4, 14, 8, 19, 6, 12, 18, 13, 16, 9, 4, 21, 18, 10, 20]",9,"[3, 1, 1, 3, 1, 2, 2, 3, 3, 3, 3, 4, 4, 4, 3, 3, 1, 2, 1, 3]",3,-1,False,False,
4,5,72,76,"[17, 13, 19, 6, 16, 20, 13, 23, 13, 2, 13, 5, 1, 24, 23, 24, 4, 11, 16, 22]",20,"[2, 4, 4, 4, 3, 2, 2, 3, 1, 2, 1, 2, 4, 2, 3, 2, 2, 2, 2, 2]",2,-1,False,False,
4,6,70,74,"[6, 14, 4, 18, 21, 19, 12, 4, 23, 4, 19, 17, 14, 5, 9, 23, 5, 6, 18, 9]",12,"[3, 4, 2, 3, 3, 2, 3, 1, 2, 1, 4, 1, 4, 2, 2, 3, 1, 4, 1, 4]",3,-1,False,False,
