time,rcv,life_time,life_time_global,run_time_vec,run_time,cpu_usage_vec,cpu_usage,snd,queued,active,time_activated
2,2,64,66,"[1, 9, 16, 10, 4, 2, 8, 7, 9, 1, 14, 13, 15, 9, 14, 18, 14, 13, 16, 17]",16,"[3, 2, 4, 4, 4, 4, 1, 2, 3, 3, 1, 4, 2, 1, 3, 4, 4, 1, 2, 4]",4,-1,False,False,
2,19,75,77,"[16, 5, 18, 22, 7, 10, 12, 19, 12, 21, 6, 7, 12, 3, 14, 12, 17, 18, 19, 7]",7,"[3, 3, 3, 4, 1, 3, 3, 1, 4, 3, 4, 4, 4, 4, 1, 4, 2, 3, 1, 4]",4,-1,False,False,
3,7,84,87,"[22, 20, 17, 18, 17, 22, 21, 3, 24, 6, 6, 3, 24, 22, 24, 4, 21, 9, 1, 15]",3,"[3, 1, 2, 1, 3, 4, 1, 3, 2, 2, 3, 2, 2, 2, 1, 2, 4, 2, 4, 4]",3,-1,False,False,
3,19,51,54,"[13, 23, 16, 23, 12, 10, 21, 10, 21, 10, 16, 19, 15, 9, 2, 14, 14, 9, 3, 10]",10,"[3, 3, 2, 2, 1, 4, 3, 4, 2, 1, 2, 4, 2, 4, 3, 1, 2, 2, 1, 4]",4,-1,False,False,
4,2,77,81,"[22, 13, 1, 23, 12, 8, 11, 10, 7, 7, 12, 19, 19, 19, 3, 18, 13, 10, 19, 12]",1,"[4, 1, 3, 4, 2, 1, 2, 3, 3, 4, 4, 2, 2, 1, 4, 3, 4, 1, 2, 3]",3,-1,False,False,
4,14,94,98,"[20, 15, 4, 15, 12, 14, 7, 9, 21, 6, 5, 6, 13, 9, 6, 17, 11, 10, 18, 12]",6,"[3, 4, 1, 3, 3, 1, 3, 4, 4, 3, 2, 1, 3, 4, 3, 3, 3, 4, 3, 4]",3,-1,False,False,
5,1,94,99,"[15, 23, 10, 2, 5, 12, 24, 19, 9, 3, 2, 12, 24, 12, 7, 21, 15, 15, 24, 24]",23,"[1, 4, 4, 4, 2, 2, 2, 2, 2, 4, 1, 1, 4, 2, 3, 2, 2, 4, 2, 4]",4,-1,False,False,
5,2,79,84,"[5, 11, 6, 10, 19, 1, 17, 8, 12, 5, 4, 9, 8, 6, 6, 1, 18, 12, 9, 11]",6,"[3, 3, 2, 4, 3, 3, 4, 3, 3, 4, 1, 4, 1, 4, 1, 1, 2, 2, 1, 1]",2,-1,False,False,
6,14,85,91,"[7, 1, 14, 20, 1, 15, 12, 16, 5, 19, 15, 4, 16, 4, 7, 10, 13, 18, 18, 10]",7,"[2, 4, 3, 4, 4, 3, 2, 4, 4, 3, 4, 3, 4, 3, 2, 1, 3, 4, 3, 4]",2,-1,False,False,
6,19,65,71,"[23, 7, 17, 6, 8, 10, 21, 7, 24, 6, 21, 16, 9, 23, 1, 17, 19, 19, 13, 18]",18,"[4, 3, 2, 1, 3, 4, 1, 4, 2, 2, 4, 3, 4, 2, 2, 3, 1, 2, 3, 1]",1,-1,False,False,
8,1,67,75,"[21, 8, 20, 3, 5, 21, 5, 18, 5, 11, 23, 21, 5, 4, 16, 7, 19, 13, 20, 11]",8,"[4, 4, 1, 2, 3, 1, 2, 4, 1, 3, 4, 3, 4, 4, 2, 1, 3, 1, 4, 4]",4,-1,False,False,
8,7,73,81,"[16, 12, 16, 15, 19, 5, 12, 21, 19, 21, 15, 2, 9, 18, 4, 9, 5, 12, 1, 20]",21,"[4, 3, 4, 3, 1, 1, 4, 1, 1, 3, 3, 2, 4, 2, 2, 4, 2, 3, 2, 1]",1,-1,False,False,
9,2,56,65,"[7, 13, 19, 11, 3, 2, 7, 12, 2, 7, 6, 19, 6, 4, 7, 15, 4, 15, 24, 18]",19,"[1, 2, 1, 3, 3, 3, 2, 4, 1, 4, 2, 1, 4, 4, 2, 1, 2, 4, 1, 1]",1,-1,False,False,
9,14,53,62,"[10, 21, 5, 7, 19, 22, 18, 15, 24, 8, 22, 24, 24, 24, 7, 17, 2, 14, 14, 3]",7,"[3, 2, 2, 4, 3, 4, 2, 2, 2, 3, 1, 2, 2, 4, 1, 1, 3, 4, 4, 1]",1,-1,False,False,
10,7,69,79,"[2, 13, 11, 4, 9, 8, 18, 11, 11, 23, 11, 6, 1, 12, 21, 3, 24, 11, 13, 6]",11,"[1, 2, 3, 4, 1, 1, 1, 4, 4, 3, 2, 2, 4, 1, 1, 1, 1, 2, 2, 3]",4,-1,False,False,
10,19,71,81,"[6, 13, 14, 14, 19, 8, 16, 17, 8, 7, 13, 1, 22, 3, 22, 1, 9, 1, 1, 21]",21,"[2, 1, 4, 4, 1, 3, 1, 4, 3, 2, 1, 2, 4, 1, 3, 2, 1, 2, 3, 3]",3,-1,False,False,
11,2,94,105,"[2, 7, 16, 6, 9, 11, 7, 17, 15, 5, 18, 5, 10, 19, 10, 22, 3, 6, 1, 13]",16,"[3, 3, 2, 2, 1, 2, 1, 4, 4, 3, 3, 1, 1, 2, 4, 3, 2, 4, 4, 2]",2,-1,False,False,
11,19,79,90,"[19, 14, 13, 16, 18, 12, 21, 21, 11, 21, 18, 14, 9, 10, 10, 23, 18, 12, 18, 18]",18,"[2, 3, 2, 2, 4, 1, 4, 1, 2, 3, 2, 4, 4, 2, 4, 1, 2, 1, 2, 2]",2,-1,False,False,
12,1,59,71,"[8, 21, 1, 17, 16, 19, 24, 17, 6, 15, 6, 19, 14, 19, 23, 11, 22, 24, 6, 5]",21,"[3, 1, 2, 1, 4, 2, 4, 4, 1, 4, 2, 1, 4, 2, 2, 1, 4, 4, 4, 1]",1,-1,False,False,
12,14,87,99,"[2, 23, 13, 12, 23, 17, 18, 15, 19, 19, 1, 7, 12, 24, 9, 11, 21, 2, 6, 9]",9,"[3, 2, 2, 2, 1, 4, 3, 2, 2, 2, 2, 2, 3, 1, 3, 4, 1, 3, 4, 2]",3,-1,False,False,
13,14,88,101,"[7, 6, 1, 4, 13, 4, 17, 24, 24, 12, 6, 8, 23, 21, 14, 6, 22, 6, 15, 7]",14,"[1, 1, 4, 3, 1, 3, 4, 3, 4, 3, 4, 1, 1, 4, 3, 4, 3, 4, 2, 1]",3,-1,False,False,
13,19,83,96,"[11, 2, 22, 13, 4, 5, 20, 8, 5, 21, 20, 14, 23, 20, 2, 3, 8, 2, 9, 21]",21,"[2, 1, 1, 2, 1, 4, 4, 4, 2, 4, 3, 4, 1, 4, 4, 3, 2, 3, 3, 1]",1,-1,False,False,
14,19,96,110,"[13, 13, 20, 10, 18, 18, 18, 5, 8, 23, 11, 23, 12, 21, 2, 12, 10, 21, 4, 24]",24,"[4, 4, 3, 1, 3, 4, 4, 1, 4, 4, 2, 1, 1, 1, 4, 3, 4, 3, 1, 2]",2,-1,False,False,
15,2,94,109,"[2, 2, 6, 16, 14, 19, 17, 24, 24, 23, 10, 4, 15, 2, 12, 18, 21, 5, 11, 4]",6,"[4, 4, 1, 4, 4, 1, 2, 3, 1, 3, 1, 4, 3, 4, 2, 2, 1, 3, 4, 1]",1,-1,False,False,
16,1,96,112,"[14, 11, 10, 7, 16, 12, 14, 6, 2, 8, 17, 9, 12, 12, 18, 23, 24, 6, 12, 7]",11,"[4, 3, 2, 4, 3, 3, 4, 1, 2, 2, 3, 1, 1, 4, 2, 4, 4, 4, 4, 2]",3,-1,False,False,
