time,rcv,life_time,life_time_global,run_time_vec,run_time,cpu_usage_vec,cpu_usage,snd,queued,active,time_activated
1,4,74,75,"[11, 16, 5, 22, 9, 3, 9, 2, 16, 20, 2, 2, 19, 11, 22]",9,"[4, 3, 4, 3, 4, 4, 4, 3, 3, 1, 3, 1, 2, 1, 4]",4,-1,False,False,
1,11,81,82,"[14, 13, 9, 24, 18, 8, 3, 19, 3, 13, 20, 12, 13, 9, 3]",12,"[1, 2, 4, 3, 3, 1, 1, 3, 2, 1, 2, 2, 3, 3, 2]",2,-1,False,False,
1,14,90,91,"[18, 3, 18, 5, 11, 18, 5, 15, 22, 22, 24, 21, 19, 15, 21]",21,"[4, 1, 1, 2, 2, 1, 3, 4, 2, 4, 1, 4, 1, 1, 2]",2,-1,False,False,
2,0,76,78,"[23, 6, 1, 14, 20, 5, 10, 8, 11, 24, 13, 11, 18, 14, 11]",23,"[1, 2, 3, 3, 1, 4, 2, 1, 1, 4, 3, 3, 1, 2, 2]",1,-1,False,False,
2,1,62,64,"[24, 19, 21, 14, 8, 13, 23, 2, 21, 5, 8, 22, 18, 21, 17]",19,"[1, 4, 4, 4, 2, 3, 2, 2, 4, 3, 4, 1, 3, 1, 1]",4,-1,False,False,
2,11,60,62,"[1, 19, 15, 7, 15, 1, 17, 17, 8, 24, 11, 10, 2, 5, 3]",10,"[1, 2, 3, 2, 4, 1, 1, 4, 4, 4, 2, 3, 4, 2, 4]",3,-1,False,False,
3,0,68,71,"[15, 4, 6, 12, 24, 16, 10, 11, 9, 16, 17, 4, 1, 9, 17]",15,"[3, 1, 3, 3, 3, 4, 4, 3, 4, 1, 1, 2, 2, 2, 2]",3,-1,False,False,
3,6,85,88,"[5, 14, 17, 3, 19, 6, 20, 15, 9, 1, 4, 19, 6, 22, 12]",20,"[1, 3, 1, 1, 1, 3, 3, 4, 4, 1, 3, 2, 4, 3, 4]",3,-1,False,False,
3,8,91,94,"[10, 16, 2, 15, 23, 12, 10, 11, 20, 2, 9, 5, 18, 10, 17]",20,"[1, 4, 3, 2, 2, 4, 1, 1, 3, 3, 4, 2, 1, 3, 1]",3,-1,False,False,
4,2,53,57,"[10, 20, 12, 22, 21, 4, 17, 23, 5, 18, 22, 4, 24, 14, 19]",12,"[2, 1, 2, 4, 2, 1, 1, 4, 2, 4, 3, 4, 3, 4, 2]",2,-1,False,False,
