time,rcv,life_time,life_time_global,run_time_vec,run_time,cpu_usage_vec,cpu_usage,snd,queued,active,time_activated
2,2,95,97,"[23, 24, 20, 3, 21, 21, 21, 8, 10, 16, 14, 17, 24, 14, 17]",20,"[4, 1, 4, 3, 3, 4, 4, 3, 2, 1, 2, 2, 4, 3, 2]",4,-1,False,False,
3,10,85,88,"[19, 15, 7, 10, 24, 10, 23, 22, 21, 20, 8, 2, 16, 13, 6]",8,"[1, 4, 3, 1, 4, 3, 2, 1, 1, 4, 4, 3, 1, 3, 2]",4,-1,False,False,
4,0,97,101,"[24, 2, 21, 6, 20, 20, 15, 16, 7, 4, 2, 11, 16, 7, 2]",24,"[2, 4, 3, 1, 4, 4, 2, 1, 4, 4, 1, 1, 3, 2, 4]",2,-1,False,False,
4,2,90,94,"[24, 1, 17, 20, 16, 5, 10, 15, 8, 15, 9, 4, 16, 4, 2]",17,"[3, 1, 4, 2, 4, 3, 3, 2, 1, 4, 3, 2, 4, 1, 2]",4,-1,False,False,
4,3,97,101,"[7, 2, 2, 7, 11, 23, 14, 14, 7, 19, 4, 4, 3, 2, 16]",7,"[4, 1, 1, 1, 1, 4, 2, 4, 4, 4, 2, 2, 4, 2, 1]",1,-1,False,False,
4,12,80,84,"[10, 12, 21, 5, 10, 6, 8, 9, 10, 17, 4, 4, 1, 15, 3]",1,"[3, 4, 4, 3, 1, 2, 4, 2, 1, 3, 4, 1, 4, 2, 4]",4,-1,False,False,
6,2,99,105,"[1, 24, 12, 18, 5, 12, 18, 12, 15, 13, 14, 11, 6, 22, 11]",12,"[3, 2, 4, 4, 2, 4, 4, 1, 2, 4, 4, 2, 1, 1, 4]",4,-1,False,False,
6,3,69,75,"[13, 5, 23, 16, 24, 12, 7, 18, 16, 22, 8, 11, 17, 11, 16]",16,"[3, 1, 1, 4, 4, 3, 3, 3, 1, 3, 4, 4, 3, 1, 3]",4,-1,False,False,
7,10,88,95,"[2, 10, 21, 15, 6, 9, 7, 17, 24, 3, 20, 19, 4, 6, 2]",20,"[2, 2, 2, 2, 3, 1, 2, 1, 1, 4, 2, 4, 1, 1, 1]",2,-1,False,False,
8,0,71,79,"[2, 13, 6, 23, 13, 6, 10, 4, 3, 21, 9, 5, 20, 22, 5]",2,"[1, 1, 2, 1, 2, 1, 2, 1, 2, 3, 1, 2, 4, 4, 3]",1,-1,False,False,
8,2,71,79,"[12, 11, 11, 23, 1, 4, 15, 21, 10, 4, 9, 4, 15, 18, 12]",11,"[3, 3, 2, 1, 4, 2, 1, 1, 1, 2, 3, 1, 1, 2, 1]",2,-1,False,False,
9,12,71,80,"[23, 14, 16, 12, 15, 6, 3, 8, 5, 20, 8, 5, 24, 1, 11]",24,"[3, 4, 1, 1, 1, 4, 3, 4, 2, 3, 3, 4, 3, 4, 3]",3,-1,False,False,
11,2,51,62,"[15, 16, 24, 19, 7, 17, 12, 23, 2, 16, 24, 15, 3, 10, 5]",24,"[1, 2, 4, 3, 1, 2, 1, 3, 3, 2, 1, 4, 3, 3, 4]",4,-1,False,False,
12,0,80,92,"[15, 19, 9, 2, 24, 12, 21, 13, 20, 9, 18, 12, 8, 5, 12]",15,"[4, 4, 3, 1, 4, 4, 2, 3, 4, 4, 3, 4, 3, 2, 1]",4,-1,False,False,
12,10,66,78,"[5, 6, 20, 6, 9, 24, 18, 19, 18, 11, 11, 13, 20, 14, 17]",11,"[3, 4, 2, 4, 2, 1, 1, 4, 3, 1, 2, 2, 3, 3, 4]",2,-1,False,False,
12,12,73,85,"[21, 12, 13, 8, 15, 18, 6, 16, 17, 15, 21, 10, 18, 5, 21]",18,"[4, 4, 1, 2, 1, 2, 1, 4, 1, 3, 3, 3, 2, 3, 1]",2,-1,False,False,
13,3,50,63,"[23, 10, 21, 23, 20, 17, 2, 19, 21, 20, 3, 17, 11, 6, 23]",23,"[3, 2, 4, 2, 1, 2, 1, 2, 3, 1, 2, 4, 1, 1, 4]",2,-1,False,False,
14,2,78,92,"[18, 22, 19, 19, 22, 5, 3, 19, 1, 17, 22, 8, 7, 23, 23]",19,"[2, 2, 1, 2, 2, 1, 2, 3, 2, 4, 4, 1, 1, 1, 1]",1,-1,False,False,
14,12,89,103,"[11, 2, 21, 24, 5, 9, 21, 16, 6, 15, 6, 9, 10, 16, 8]",10,"[2, 2, 4, 4, 4, 1, 2, 3, 3, 3, 4, 2, 3, 1, 4]",3,-1,False,False,
15,0,67,82,"[3, 20, 23, 6, 3, 20, 14, 18, 16, 17, 13, 3, 8, 22, 6]",3,"[4, 3, 1, 3, 2, 3, 4, 4, 3, 2, 3, 3, 3, 1, 1]",4,-1,False,False,
15,2,73,88,"[7, 8, 8, 23, 16, 23, 19, 18, 17, 21, 7, 3, 8, 9, 17]",8,"[2, 3, 3, 4, 3, 2, 4, 2, 1, 3, 1, 1, 4, 1, 2]",3,-1,False,False,
15,3,82,97,"[1, 9, 5, 15, 10, 16, 20, 8, 14, 8, 19, 24, 23, 17, 11]",15,"[4, 1, 4, 1, 2, 2, 2, 1, 3, 2, 2, 2, 1, 4, 4]",1,-1,False,False,
15,12,81,96,"[14, 8, 23, 11, 16, 15, 6, 23, 16, 14, 21, 7, 18, 2, 24]",18,"[4, 3, 1, 4, 4, 4, 4, 3, 4, 1, 3, 1, 1, 1, 4]",1,-1,False,False,
17,2,68,85,"[17, 16, 13, 9, 8, 3, 15, 5, 10, 2, 7, 8, 15, 13, 14]",13,"[3, 3, 2, 4, 4, 4, 2, 4, 1, 4, 3, 4, 1, 4, 2]",2,-1,False,False,
17,10,72,89,"[1, 19, 4, 14, 11, 24, 18, 11, 22, 12, 17, 3, 4, 12, 11]",17,"[3, 2, 2, 1, 3, 1, 2, 1, 4, 1, 3, 4, 2, 2, 4]",3,-1,False,False,
18,12,84,102,"[19, 5, 5, 14, 8, 18, 1, 15, 20, 18, 21, 9, 2, 24, 9]",2,"[2, 2, 2, 3, 2, 2, 1, 2, 4, 3, 3, 2, 4, 1, 2]",4,-1,False,False,
19,0,83,102,"[18, 24, 22, 8, 17, 16, 2, 11, 24, 13, 21, 15, 17, 11, 20]",18,"[4, 4, 1, 4, 1, 2, 3, 4, 2, 4, 1, 3, 1, 4, 4]",4,-1,False,False,
19,3,92,111,"[18, 5, 7, 1, 19, 5, 22, 3, 19, 21, 10, 6, 19, 19, 17]",1,"[3, 2, 3, 2, 2, 2, 3, 4, 4, 1, 1, 2, 2, 3, 1]",2,-1,False,False,
20,3,77,97,"[19, 21, 12, 1, 1, 16, 5, 4, 11, 22, 7, 21, 17, 15, 14]",1,"[1, 4, 3, 3, 1, 3, 1, 4, 4, 3, 1, 2, 1, 1, 1]",3,-1,False,False,
21,2,73,94,"[3, 12, 19, 17, 23, 19, 1, 17, 13, 7, 16, 13, 24, 16, 21]",19,"[2, 1, 2, 1, 4, 2, 1, 3, 1, 3, 2, 1, 1, 2, 2]",2,-1,False,False,
21,12,79,100,"[1, 17, 12, 4, 21, 7, 7, 6, 13, 21, 13, 2, 20, 11, 16]",20,"[2, 4, 3, 1, 3, 4, 1, 3, 1, 4, 2, 2, 1, 1, 4]",1,-1,False,False,
22,10,83,105,"[11, 8, 20, 10, 23, 17, 13, 10, 8, 7, 9, 19, 10, 17, 13]",9,"[4, 4, 2, 1, 1, 1, 4, 2, 4, 4, 1, 4, 2, 4, 1]",1,-1,False,False,
23,0,80,103,"[13, 11, 15, 22, 15, 5, 1, 12, 21, 1, 1, 13, 17, 20, 14]",13,"[3, 1, 2, 3, 3, 4, 2, 4, 3, 3, 1, 3, 3, 4, 4]",3,-1,False,False,
23,3,80,103,"[18, 7, 22, 20, 4, 24, 20, 12, 14, 9, 21, 15, 16, 11, 3]",20,"[4, 2, 1, 1, 1, 2, 3, 1, 3, 1, 2, 1, 4, 2, 1]",1,-1,False,False,
24,12,93,117,"[11, 1, 8, 12, 17, 23, 17, 2, 14, 21, 3, 7, 16, 6, 24]",16,"[2, 4, 3, 2, 3, 4, 4, 2, 2, 4, 3, 2, 3, 3, 4]",3,-1,False,False,
26,2,87,113,"[24, 21, 5, 17, 4, 20, 12, 11, 2, 8, 19, 3, 9, 6, 1]",5,"[2, 3, 2, 3, 4, 2, 4, 2, 4, 4, 4, 1, 2, 3, 1]",2,-1,False,False,
27,0,83,110,"[16, 1, 11, 10, 11, 1, 15, 12, 10, 2, 17, 1, 20, 18, 12]",16,"[2, 2, 2, 3, 3, 1, 2, 1, 4, 4, 3, 2, 2, 4, 2]",2,-1,False,False,
27,3,54,81,"[20, 21, 7, 10, 13, 1, 24, 14, 18, 21, 21, 1, 24, 13, 11]",10,"[1, 1, 1, 1, 1, 1, 2, 3, 2, 2, 1, 4, 3, 3, 1]",1,-1,False,False,
27,10,56,83,"[15, 7, 23, 10, 4, 3, 20, 21, 17, 20, 3, 13, 22, 2, 16]",3,"[1, 1, 4, 3, 3, 2, 4, 4, 2, 2, 1, 4, 2, 2, 2]",1,-1,False,False,
29,2,67,96,"[8, 18, 6, 17, 13, 20, 17, 8, 11, 12, 23, 12, 4, 9, 17]",6,"[4, 4, 4, 1, 1, 2, 2, 2, 1, 1, 4, 1, 4, 4, 3]",4,-1,False,False,
29,3,58,87,"[6, 12, 12, 22, 12, 24, 9, 10, 17, 23, 3, 13, 10, 9, 22]",22,"[3, 4, 4, 3, 1, 2, 2, 4, 2, 4, 4, 1, 2, 2, 3]",3,-1,False,False,
29,10,53,82,"[24, 2, 4, 12, 8, 15, 19, 19, 22, 23, 2, 3, 21, 13, 9]",2,"[4, 4, 4, 3, 3, 2, 2, 3, 2, 2, 4, 1, 3, 1, 3]",4,-1,False,False,
29,12,87,116,"[19, 15, 1, 23, 13, 10, 22, 7, 11, 17, 14, 2, 16, 14, 3]",16,"[4, 4, 2, 4, 1, 4, 2, 2, 3, 2, 4, 1, 2, 4, 2]",2,-1,False,False,
30,0,86,116,"[14, 6, 10, 4, 1, 19, 1, 1, 3, 10, 23, 16, 6, 22, 20]",14,"[3, 2, 1, 2, 1, 1, 1, 4, 2, 4, 3, 3, 4, 2, 4]",3,-1,False,False,
31,10,66,97,"[3, 12, 1, 11, 12, 17, 18, 13, 17, 2, 13, 13, 13, 1, 8]",13,"[2, 2, 1, 4, 2, 3, 4, 1, 1, 4, 2, 3, 1, 2, 4]",2,-1,False,False,
32,0,96,128,"[12, 11, 20, 12, 11, 20, 12, 22, 13, 23, 11, 8, 9, 13, 24]",12,"[3, 1, 2, 2, 1, 1, 3, 2, 2, 1, 2, 2, 4, 3, 3]",3,-1,False,False,
32,2,92,124,"[4, 15, 4, 19, 9, 2, 18, 10, 4, 15, 5, 15, 10, 22, 22]",4,"[3, 3, 1, 2, 4, 1, 2, 3, 3, 2, 2, 2, 4, 1, 3]",1,-1,False,False,
33,0,81,114,"[12, 18, 2, 17, 5, 1, 16, 21, 15, 16, 3, 5, 23, 15, 24]",12,"[2, 2, 1, 3, 3, 4, 4, 1, 1, 1, 3, 1, 1, 1, 4]",2,-1,False,False,
33,3,70,103,"[3, 7, 10, 2, 18, 17, 16, 11, 1, 14, 23, 9, 6, 20, 14]",2,"[2, 1, 4, 2, 3, 1, 4, 2, 4, 2, 4, 2, 2, 4, 1]",2,-1,False,False,
34,10,71,105,"[20, 7, 19, 18, 15, 16, 2, 24, 13, 15, 24, 11, 18, 9, 17]",24,"[1, 3, 3, 2, 2, 3, 2, 4, 4, 4, 2, 2, 2, 3, 3]",2,-1,False,False,
35,12,62,97,"[18, 21, 23, 17, 10, 11, 12, 12, 18, 19, 12, 13, 6, 21, 23]",6,"[1, 3, 1, 1, 2, 3, 1, 1, 2, 1, 1, 1, 1, 1, 4]",1,-1,False,False,
36,3,88,124,"[6, 1, 19, 18, 18, 1, 1, 14, 22, 16, 11, 9, 14, 18, 24]",18,"[2, 1, 1, 1, 1, 2, 4, 4, 1, 3, 3, 1, 1, 3, 1]",1,-1,False,False,
37,0,98,135,"[15, 19, 2, 10, 19, 4, 24, 18, 2, 5, 17, 18, 24, 7, 16]",15,"[1, 2, 1, 1, 1, 3, 2, 3, 1, 1, 2, 4, 3, 4, 4]",1,-1,False,False,
37,2,91,128,"[9, 4, 17, 13, 8, 1, 7, 24, 13, 13, 8, 14, 15, 2, 16]",17,"[2, 2, 3, 3, 4, 2, 2, 3, 3, 3, 3, 2, 1, 1, 4]",3,-1,False,False,
