time,rcv,life_time,life_time_global,run_time_vec,run_time,cpu_usage_vec,cpu_usage,snd,queued,active,time_activated
1,9,67,68,"[4, 11, 10, 4, 1, 12, 21, 24, 18, 1]",1,"[2, 3, 4, 2, 2, 4, 2, 4, 2, 4]",4,-1,False,False,
2,5,63,65,"[16, 14, 9, 3, 2, 18, 11, 11, 15, 11]",18,"[4, 4, 4, 4, 4, 3, 3, 4, 4, 4]",3,-1,False,False,
2,6,82,84,"[15, 11, 23, 11, 21, 6, 18, 22, 16, 6]",18,"[4, 1, 3, 1, 2, 2, 4, 1, 1, 3]",4,-1,False,False,
3,6,99,102,"[13, 9, 23, 10, 1, 11, 11, 19, 6, 19]",11,"[4, 1, 2, 2, 2, 1, 4, 2, 4, 4]",4,-1,False,False,
4,9,95,99,"[21, 8, 9, 8, 3, 15, 2, 19, 22, 17]",17,"[2, 4, 2, 2, 3, 3, 4, 3, 2, 2]",2,-1,False,False,
5,0,54,59,"[15, 12, 5, 5, 15, 3, 13, 4, 20, 1]",15,"[2, 1, 4, 3, 2, 4, 3, 1, 1, 4]",2,-1,False,False,
5,4,60,65,"[6, 11, 15, 24, 17, 5, 10, 5, 13, 16]",17,"[3, 2, 2, 4, 3, 3, 1, 3, 4, 1]",3,-1,False,False,
5,6,66,71,"[9, 12, 9, 4, 14, 17, 2, 14, 16, 18]",2,"[4, 3, 3, 1, 3, 3, 1, 4, 3, 4]",1,-1,False,False,
6,9,90,96,"[3, 8, 3, 12, 8, 12, 1, 4, 9, 24]",24,"[1, 1, 1, 3, 2, 1, 3, 1, 3, 3]",3,-1,False,False,
7,5,53,60,"[7, 6, 3, 8, 4, 5, 13, 5, 9, 11]",5,"[4, 3, 4, 2, 1, 4, 2, 2, 2, 1]",4,-1,False,False,
8,0,70,78,"[13, 24, 10, 10, 23, 21, 10, 16, 8, 19]",13,"[3, 1, 4, 4, 3, 2, 3, 2, 4, 4]",3,-1,False,False,
8,9,85,93,"[13, 9, 22, 5, 2, 16, 11, 19, 9, 6]",6,"[4, 1, 4, 3, 4, 3, 3, 1, 3, 1]",1,-1,False,False,
