time,rcv,life_time,life_time_global,run_time_vec,run_time,cpu_usage_vec,cpu_usage,snd,queued,active,time_activated
2,1,56,58,"[12, 19, 14, 11, 1, 3, 2, 7, 23, 20, 2, 14, 7, 7, 10, 13, 2, 14, 5, 17]",19,"[3, 2, 3, 4, 3, 4, 4, 4, 2, 1, 4, 4, 4, 2, 2, 2, 1, 1, 2, 3]",2,-1,False,False,
2,2,82,84,"[6, 20, 16, 14, 23, 13, 13, 20, 5, 23, 4, 24, 12, 20, 17, 13, 4, 11, 17, 1]",16,"[4, 2, 4, 2, 1, 1, 3, 1, 2, 3, 1, 2, 3, 3, 3, 2, 2, 2, 1, 2]",4,-1,False,False,
2,3,92,94,"[14, 15, 10, 21, 7, 4, 12, 20, 11, 3, 12, 10, 15, 4, 22, 1, 24, 2, 3, 4]",21,"[2, 1, 2, 2, 4, 4, 4, 1, 2, 2, 3, 3, 4, 1, 1, 4, 4, 3, 4, 4]",2,-1,False,False,
2,5,90,92,"[2, 24, 17, 10, 11, 7, 9, 15, 3, 6, 17, 20, 3, 7, 5, 23, 20, 5, 20, 4]",7,"[2, 2, 2, 4, 4, 4, 4, 1, 1, 3, 1, 1, 2, 1, 3, 3, 1, 2, 2, 3]",4,-1,False,False,
2,7,57,59,"[20, 17, 3, 21, 14, 1, 16, 6, 3, 24, 16, 18, 17, 23, 3, 21, 13, 6, 20, 16]",6,"[2, 4, 1, 2, 3, 2, 2, 1, 4, 1, 1, 4, 4, 1, 4, 3, 2, 2, 4, 2]",1,-1,False,False,
2,9,62,64,"[2, 16, 23, 12, 12, 1, 22, 3, 4, 7, 23, 6, 1, 13, 24, 12, 22, 11, 16, 14]",7,"[3, 4, 1, 2, 3, 3, 3, 2, 2, 3, 2, 4, 2, 3, 1, 2, 3, 2, 3, 1]",3,-1,False,False,
2,11,81,83,"[11, 23, 16, 18, 11, 7, 6, 22, 12, 3, 3, 3, 5, 21, 10, 13, 23, 6, 14, 6]",3,"[1, 1, 3, 4, 3, 4, 2, 1, 1, 1, 3, 4, 1, 1, 3, 1, 4, 4, 1, 1]",4,-1,False,False,
2,12,98,100,"[19, 9, 9, 7, 17, 2, 21, 23, 16, 12, 16, 11, 21, 14, 22, 9, 8, 9, 4, 2]",21,"[3, 2, 1, 1, 1, 3, 1, 1, 3, 3, 4, 4, 4, 4, 3, 3, 1, 4, 2, 1]",4,-1,False,False,
2,14,70,72,"[22, 8, 10, 9, 12, 10, 22, 20, 2, 21, 5, 15, 18, 8, 11, 9, 10, 24, 8, 5]",11,"[2, 4, 2, 3, 3, 4, 4, 1, 4, 2, 2, 4, 3, 1, 2, 3, 2, 2, 2, 1]",2,-1,False,False,
3,0,91,94,"[6, 11, 11, 19, 8, 8, 16, 3, 15, 6, 13, 9, 4, 3, 4, 19, 18, 15, 15, 17]",6,"[3, 3, 2, 1, 4, 3, 2, 1, 4, 2, 3, 3, 3, 3, 2, 4, 1, 2, 4, 1]",3,-1,False,False,
3,5,50,53,"[20, 4, 20, 17, 18, 20, 3, 6, 20, 8, 16, 5, 8, 22, 20, 11, 22, 21, 22, 13]",20,"[2, 4, 3, 4, 1, 1, 4, 3, 2, 1, 2, 1, 1, 3, 1, 1, 1, 4, 1, 1]",1,-1,False,False,
3,10,70,73,"[13, 2, 2, 17, 7, 2, 14, 17, 19, 19, 8, 12, 4, 10, 3, 20, 2, 16, 2, 22]",8,"[1, 1, 1, 3, 1, 4, 4, 2, 2, 3, 4, 3, 4, 4, 4, 1, 3, 4, 3, 2]",4,-1,False,False,
