time,rcv,life_time,life_time_global,run_time_vec,run_time,cpu_usage_vec,cpu_usage,snd,queued,active,time_activated
1,0,82,83,"[2, 15, 2, 1, 16, 9, 7, 11, 19, 20, 17, 1, 20, 4, 13, 5, 17, 20, 6, 11]",2,"[4, 2, 2, 2, 3, 1, 2, 1, 2, 2, 2, 4, 1, 1, 1, 3, 2, 4, 3, 4]",4,-1,False,False,
1,9,55,56,"[6, 7, 15, 21, 12, 14, 4, 24, 15, 3, 11, 10, 12, 14, 24, 4, 21, 8, 21, 21]",3,"[2, 2, 4, 1, 3, 1, 2, 1, 1, 1, 1, 1, 4, 2, 1, 4, 1, 1, 3, 2]",1,-1,False,False,
2,4,57,59,"[17, 5, 1, 5, 8, 12, 18, 8, 17, 20, 13, 2, 12, 17, 21, 12, 13, 9, 12, 15]",8,"[4, 3, 3, 1, 2, 1, 3, 1, 1, 3, 3, 4, 3, 1, 2, 1, 1, 1, 1, 3]",2,-1,False,False,
2,16,87,89,"[9, 9, 21, 5, 24, 3, 22, 17, 21, 7, 13, 8, 8, 16, 1, 10, 20, 3, 16, 8]",20,"[3, 4, 3, 4, 4, 1, 3, 1, 4, 4, 2, 2, 2, 1, 1, 1, 3, 1, 1, 4]",3,-1,False,False,
3,0,73,76,"[3, 14, 16, 16, 16, 14, 19, 18, 17, 23, 23, 3, 21, 4, 7, 1, 15, 7, 23, 20]",3,"[4, 4, 4, 1, 1, 1, 4, 1, 1, 3, 1, 3, 2, 1, 2, 3, 1, 2, 2, 3]",4,-1,False,False,
3,9,53,56,"[16, 6, 2, 8, 7, 14, 13, 15, 4, 22, 23, 14, 3, 22, 3, 19, 19, 24, 18, 1]",22,"[4, 4, 4, 4, 4, 4, 2, 1, 2, 3, 4, 1, 1, 4, 3, 4, 3, 2, 3, 2]",3,-1,False,False,
3,16,92,95,"[16, 4, 23, 15, 14, 11, 4, 14, 4, 9, 22, 2, 8, 13, 5, 17, 21, 22, 9, 16]",21,"[3, 4, 1, 4, 3, 1, 2, 2, 1, 3, 4, 1, 2, 3, 2, 3, 1, 4, 1, 3]",1,-1,False,False,
5,5,65,70,"[2, 17, 7, 14, 1, 7, 4, 2, 7, 5, 16, 6, 17, 23, 22, 22, 12, 18, 17, 21]",7,"[4, 2, 3, 4, 2, 4, 2, 4, 1, 1, 2, 3, 3, 3, 1, 4, 2, 4, 4, 1]",4,-1,False,False,
5,9,65,70,"[8, 13, 10, 3, 19, 5, 2, 2, 5, 6, 10, 9, 19, 18, 8, 15, 23, 10, 18, 23]",6,"[2, 2, 1, 1, 4, 2, 2, 4, 2, 2, 2, 4, 4, 3, 2, 4, 2, 4, 4, 2]",2,-1,False,False,
5,16,61,66,"[9, 24, 13, 3, 18, 6, 1, 21, 7, 11, 19, 18, 3, 1, 21, 3, 19, 18, 13, 14]",19,"[2, 4, 1, 2, 3, 3, 1, 4, 2, 3, 2, 2, 4, 1, 4, 2, 1, 2, 2, 4]",1,-1,False,False,
