time,rcv,life_time,life_time_global,run_time_vec,run_time,cpu_usage_vec,cpu_usage,snd,queued,active,time_activated
2,2,87,89,"[23, 6, 18, 15, 22, 6, 16, 10, 6, 11, 5, 9, 6, 4, 7, 6, 9, 19, 6, 17]",18,"[4, 3, 2, 2, 3, 2, 4, 3, 2, 1, 2, 1, 2, 3, 1, 2, 2, 2, 4, 4]",2,-1,False,False,
2,8,82,84,"[19, 14, 20, 14, 18, 14, 13, 3, 12, 5, 3, 22, 22, 9, 7, 9, 4, 3, 5, 5]",12,"[4, 2, 4, 2, 1, 4, 4, 2, 1, 3, 4, 2, 2, 1, 2, 2, 3, 3, 3, 3]",1,-1,False,False,
2,14,51,53,"[1, 21, 19, 14, 1, 2, 23, 13, 8, 8, 20, 13, 17, 9, 18, 1, 2, 2, 7, 20]",18,"[1, 1, 2, 1, 2, 2, 1, 3, 3, 1, 1, 4, 4, 2, 2, 2, 4, 3, 4, 2]",2,-1,False,False,
2,16,59,61,"[12, 3, 15, 7, 5, 13, 17, 6, 23, 19, 9, 1, 16, 17, 2, 4, 2, 7, 2, 22]",2,"[3, 3, 2, 2, 1, 2, 4, 3, 4, 4, 1, 1, 2, 1, 4, 4, 4, 2, 4, 4]",4,-1,False,False,
3,0,88,91,"[21, 3, 22, 10, 21, 6, 7, 5, 1, 3, 19, 22, 24, 13, 20, 24, 20, 8, 9, 7]",21,"[4, 3, 3, 1, 4, 2, 3, 2, 2, 2, 1, 1, 4, 2, 4, 3, 3, 1, 1, 1]",4,-1,False,False,
3,1,83,86,"[13, 19, 24, 17, 19, 15, 16, 14, 16, 9, 3, 16, 18, 10, 11, 21, 8, 6, 20, 11]",19,"[2, 4, 3, 2, 3, 4, 1, 2, 1, 4, 4, 3, 2, 1, 1, 2, 4, 4, 3, 2]",4,-1,False,False,
3,2,92,95,"[16, 9, 4, 2, 3, 19, 13, 9, 7, 5, 10, 9, 3, 21, 23, 5, 21, 13, 6, 14]",4,"[2, 3, 3, 2, 1, 3, 2, 3, 3, 2, 2, 2, 2, 1, 1, 4, 1, 1, 1, 3]",3,-1,False,False,
3,3,93,96,"[10, 20, 4, 11, 2, 20, 24, 5, 14, 18, 10, 1, 8, 16, 16, 24, 13, 13, 19, 1]",11,"[4, 4, 4, 2, 1, 4, 1, 2, 4, 2, 3, 4, 2, 4, 2, 4, 2, 1, 4, 1]",2,-1,False,False,
3,7,62,65,"[11, 3, 24, 12, 10, 4, 24, 9, 19, 18, 17, 21, 18, 2, 24, 4, 16, 17, 5, 14]",9,"[2, 2, 2, 2, 1, 3, 1, 4, 3, 1, 4, 3, 3, 4, 4, 4, 2, 4, 3, 2]",4,-1,False,False,
3,9,90,93,"[20, 20, 14, 5, 2, 13, 21, 16, 3, 15, 22, 7, 11, 16, 18, 4, 15, 4, 4, 24]",15,"[1, 3, 4, 3, 3, 1, 4, 3, 3, 4, 2, 1, 3, 1, 2, 1, 3, 1, 1, 2]",4,-1,False,False,
